Altitude (m),Pressure (Pa),G,TLM (K),U,TLC_new (K)
4000,61640.21373960736,0.04717210217357915,242.91880296258083,0.0,231.69955597514985
4000,61640.21373960736,0.04717210217357915,242.91880296258083,0.2,232.49864476316102
4000,61640.21373960736,0.04717210217357915,242.91880296258083,0.4,233.46677543710706
4000,61640.21373960736,0.04717210217357915,242.91880296258083,0.6000000000000001,234.71078837258293
4000,61640.21373960736,0.04717210217357915,242.91880296258083,0.8,236.5189148161332
4000,61640.21373960736,0.04717210217357915,242.91880296258083,1.0,241.57629211788162
5000,54019.888188145786,0.04134040961929939,241.3759351147144,0.0,230.31855728924887
5000,54019.888188145786,0.04134040961929939,241.3759351147144,0.2,231.10664240517758
5000,54019.888188145786,0.04134040961929939,241.3759351147144,0.4,232.0613588258498
5000,54019.888188145786,0.04134040961929939,241.3759351147144,0.6000000000000001,233.2880607176066
5000,54019.888188145786,0.04134040961929939,241.3759351147144,0.8,235.07084913279658
5000,54019.888188145786,0.04134040961929939,241.3759351147144,1.0,240.05805409127612
6000,47181.00218522916,0.0361067381293553,239.81733342958967,0.0,228.92221429631428
6000,47181.00218522916,0.0361067381293553,239.81733342958967,0.2,229.69925562883384
6000,47181.00218522916,0.0361067381293553,239.81733342958967,0.4,230.6405070639373
6000,47181.00218522916,0.0361067381293553,239.81733342958967,0.6000000000000001,231.84983833629815
6000,47181.00218522916,0.0361067381293553,239.81733342958967,0.8,233.60624929713148
6000,47181.00218522916,0.0361067381293553,239.81733342958967,1.0,238.52301949150558
7000,41060.71708488657,0.03142299846381153,238.24254272761715,0.0,227.50975970095595
7000,41060.71708488657,0.03142299846381153,238.24254272761715,0.2,228.27571116088097
7000,41060.71708488657,0.03142299846381153,238.24254272761715,0.4,229.2025169209883
7000,41060.71708488657,0.03142299846381153,238.24254272761715,0.6000000000000001,230.39532808586475
7000,41060.71708488657,0.03142299846381153,238.24254272761715,0.8,232.12626725226
7000,41060.71708488657,0.03142299846381153,238.24254272761715,1.0,236.97205034945506
8000,35599.78521264196,0.027243849486024117,236.6510479433437,0.0,226.08037461238655
8000,35599.78521264196,0.027243849486024117,236.6510479433437,0.2,226.8351839435971
8000,35599.78521264196,0.027243849486024117,236.6510479433437,0.4,227.74849172362457
8000,35599.78521264196,0.027243849486024117,236.6510479433437,0.6000000000000001,228.92276652240898
8000,35599.78521264196,0.027243849486024117,236.6510479433437,0.8,230.6290366442225
8000,35599.78521264196,0.027243849486024117,236.6510479433437,1.0,235.40295915827755
9000,30742.432612096873,0.02352660843079424,235.04225660171622,0.0,224.63318395667477
9000,30742.432612096873,0.02352660843079424,235.04225660171622,0.2,225.37679259430263
9000,30742.432612096873,0.02352660843079424,235.04225660171622,0.4,226.27653973757577
9000,30742.432612096873,0.02352660843079424,235.04225660171622,0.6000000000000001,227.43318269283665
9000,30742.432612096873,0.02352660843079424,235.04225660171622,0.8,229.1136359605324
9000,30742.432612096873,0.02352660843079424,235.04225660171622,1.0,233.814513501923
10000,26436.2425926916,0.020231161785648877,233.41547522583548,0.0,223.16725142532954
10000,26436.2425926916,0.020231161785648877,233.41547522583548,0.2,223.8995944283559
10000,26436.2425926916,0.020231161785648877,233.41547522583548,0.4,224.7857123540505
10000,26436.2425926916,0.020231161785648877,233.41547522583548,0.6000000000000001,225.92461487609924
10000,26436.2425926916,0.020231161785648877,233.41547522583548,0.8,227.57908265265786
10000,26436.2425926916,0.020231161785648877,233.41547522583548,1.0,232.2044641405575
11000,22632.040095007793,0.017319876797770625,231.76987731642237,0.0,221.68157403116044
11000,22632.040095007793,0.017319876797770625,231.76987731642237,0.2,222.40258013886088
11000,22632.040095007793,0.017319876797770625,231.76987731642237,0.4,223.27499526310737
11000,22632.040095007793,0.017319876797770625,231.76987731642237,0.6000000000000001,224.3960367158894
11000,22632.040095007793,0.017319876797770625,231.76987731642237,0.8,226.0243290914907
11000,22632.040095007793,0.017319876797770625,231.76987731642237,1.0,230.57251194430012
12000,19330.38250807444,0.014793180026553604,230.12934534816588,0.0,220.1976091228494
12000,19330.38250807444,0.014793180026553604,230.12934534816588,0.2,220.90691965437622
12000,19330.38250807444,0.014793180026553604,230.12934534816588,0.4,221.76621170334244
12000,19330.38250807444,0.014793180026553604,230.12934534816588,0.6000000000000001,222.86952846804306
12000,19330.38250807444,0.014793180026553604,230.12934534816588,0.8,224.47182918024149
12000,19330.38250807444,0.014793180026553604,230.12934534816588,1.0,228.94315156698832
13000,16510.384673226763,0.012635088450871246,228.5177923289432,0.0,218.73714348854273
13000,16510.384673226763,0.012635088450871246,228.5177923289432,0.2,219.43622259578
13000,16510.384673226763,0.012635088450871246,228.5177923289432,0.4,220.28126524842685
13000,16510.384673226763,0.012635088450871246,228.5177923289432,0.6000000000000001,221.3667914715942
13000,16510.384673226763,0.012635088450871246,228.5177923289432,0.8,222.9435789581123
13000,16510.384673226763,0.012635088450871246,228.5177923289432,1.0,227.33836095941578
14000,14101.780031722457,0.010791828388134129,226.93420814866113,0.0,217.29963919728027
14000,14101.780031722457,0.010791828388134129,226.93420814866113,0.2,217.98767336958673
14000,14101.780031722457,0.010791828388134129,226.93420814866113,0.4,218.82034944100755
14000,14101.780031722457,0.010791828388134129,226.93420814866113,0.6000000000000001,219.8903380915232
14000,14101.780031722457,0.010791828388134129,226.93420814866113,0.8,221.4400248610325
14000,14101.780031722457,0.010791828388134129,226.93420814866113,1.0,225.757817976204
15000,12044.552807152815,0.009217470887661809,225.37742263908734,0.0,215.88459189202896
15000,12044.552807152815,0.009217470887661809,225.37742263908734,0.2,216.56213092408376
15000,12044.552807152815,0.009217470887661809,225.37742263908734,0.4,217.38221655141095
15000,12044.552807152815,0.009217470887661809,225.37742263908734,0.6000000000000001,218.43468836789253
15000,12044.552807152815,0.009217470887661809,225.37742263908734,0.8,219.9632936826604
15000,12044.552807152815,0.009217470887661809,225.37742263908734,1.0,224.20349003078417
16000,10287.442578025597,0.007872787308062686,223.84607511497924,0.0,214.4915329215526
16000,10287.442578025597,0.007872787308062686,223.84607511497924,0.2,215.15881877704868
16000,10287.442578025597,0.007872787308062686,223.84607511497924,0.4,215.96665075763087
16000,10287.442578025597,0.007872787308062686,223.84607511497924,0.6000000000000001,217.00294322668117
16000,10287.442578025597,0.007872787308062686,223.84607511497924,0.8,218.50741075992332
16000,10287.442578025597,0.007872787308062686,223.84607511497924,1.0,222.67292714851237
17000,8786.667009614881,0.006724271847818719,222.33857605123237,0.0,213.12003212194904
17000,8786.667009614881,0.006724271847818719,222.33857605123237,0.2,213.77730734479823
17000,8786.667009614881,0.006724271847818719,222.33857605123237,0.4,214.57191117769227
17000,8786.667009614881,0.006724271847818719,222.33857605123237,0.6000000000000001,215.59261246175458
17000,8786.667009614881,0.006724271847818719,222.33857605123237,0.8,217.07443328379924
17000,8786.667009614881,0.006724271847818719,222.33857605123237,1.0,221.16781555095952
18000,7504.830919082718,0.005743306673236415,220.85305811413795,0.0,211.7697008056317
18000,7504.830919082718,0.005743306673236415,220.85305811413795,0.2,212.41721204777252
18000,7504.830919082718,0.005743306673236415,220.85305811413795,0.4,213.19973560843488
18000,7504.830919082718,0.005743306673236415,220.85305811413795,0.6000000000000001,214.20504646124436
18000,7504.830919082718,0.005743306673236415,220.85305811413795,0.8,215.663727303944
18000,7504.830919082718,0.005743306673236415,220.85305811413795,1.0,219.72147897743213
